,x
7.926111111,0.005045793
27.93833333,-0.014286737
51.94972222,-0.006140916
75.96305556,-0.001616584
7.926111111,-0.008079031
27.93833333,-0.010244924
51.94972222,-0.005639612
75.96305556,-0.001872174
7.926111111,-0.006746955
27.93833333,-0.004131714
51.94972222,0.000782009
75.96305556,0.002052633
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
